Name,Difficulty,Question,Answer,"Round, order",isDoubleJeopardy
Category 1,1,Enter your question/clue here,What is your answer here?,"1,1",FALSE
Category 1,2,Enter your question/clue here,What is your answer here?,"1,1",FALSE
Category 1,3,Enter your question/clue here,What is your answer here?,"1,1",FALSE
Category 1,4,Enter your question/clue here,What is your answer here?,"1,1",FALSE
Category 1,5,Enter your question/clue here,What is your answer here?,"1,1",FALSE
Category 2,1,Enter your question/clue here,What is your answer here?,"1,2",FALSE
Category 2,2,Enter your question/clue here,What is your answer here?,"1,2",FALSE
Category 2,3,Enter your question/clue here,What is your answer here?,"1,2",FALSE
Category 2,4,Enter your question/clue here,What is your answer here?,"1,2",FALSE
Category 2,5,Enter your question/clue here,What is your answer here?,"1,2",FALSE
Category 3,1,Enter your question/clue here,What is your answer here?,"1,3",FALSE
Category 3,2,Enter your question/clue here,What is your answer here?,"1,3",FALSE
Category 3,3,Enter your question/clue here,What is your answer here?,"1,3",FALSE
Category 3,4,Enter your question/clue here,What is your answer here?,"1,3",FALSE
Category 3,5,Enter your question/clue here,What is your answer here?,"1,3",FALSE
Category 4,1,Enter your question/clue here,What is your answer here?,"1,4",FALSE
Category 4,2,Enter your question/clue here,What is your answer here?,"1,4",FALSE
Category 4,3,Enter your question/clue here,What is your answer here?,"1,4",FALSE
Category 4,4,Enter your question/clue here,What is your answer here?,"1,4",FALSE
Category 4,5,Enter your question/clue here,What is your answer here?,"1,4",FALSE
Category 5,1,Enter your question/clue here,What is your answer here?,"1,5",FALSE
Category 5,2,Enter your question/clue here,What is your answer here?,"1,5",FALSE
Category 5,3,Enter your question/clue here,What is your answer here?,"1,5",FALSE
Category 5,4,Enter your question/clue here,What is your answer here?,"1,5",FALSE
Category 5,5,Enter your question/clue here,What is your answer here?,"1,5",FALSE
Category 1,1,Enter your question/clue here,What is your answer here?,"2,1",FALSE
Category 1,2,Enter your question/clue here,What is your answer here?,"2,1",FALSE
Category 1,3,Enter your question/clue here,What is your answer here?,"2,1",FALSE
Category 1,4,Enter your question/clue here,What is your answer here?,"2,1",FALSE
Category 1,5,Enter your question/clue here,What is your answer here?,"2,1",FALSE
Category 2,1,Enter your question/clue here,What is your answer here?,"2,2",FALSE
Category 2,2,Enter your question/clue here,What is your answer here?,"2,2",FALSE
Category 2,3,Enter your question/clue here,What is your answer here?,"2,2",FALSE
Category 2,4,Enter your question/clue here,What is your answer here?,"2,2",FALSE
Category 2,5,Enter your question/clue here,What is your answer here?,"2,2",FALSE
Category 3,1,Enter your question/clue here,What is your answer here?,"2,3",FALSE
Category 3,2,Enter your question/clue here,What is your answer here?,"2,3",FALSE
Category 3,3,Enter your question/clue here,What is your answer here?,"2,3",FALSE
Category 3,4,Enter your question/clue here,What is your answer here?,"2,3",FALSE
Category 3,5,Enter your question/clue here,What is your answer here?,"2,3",FALSE
Category 4,1,Enter your question/clue here,What is your answer here?,"2,4",FALSE
Category 4,2,Enter your question/clue here,What is your answer here?,"2,4",FALSE
Category 4,3,Enter your question/clue here,What is your answer here?,"2,4",FALSE
Category 4,4,Enter your question/clue here,What is your answer here?,"2,4",FALSE
Category 4,5,Enter your question/clue here,What is your answer here?,"2,4",FALSE
Category 5,1,Enter your question/clue here,What is your answer here?,"2,5",FALSE
Category 5,2,Enter your question/clue here,What is your answer here?,"2,5",FALSE
Category 5,3,Enter your question/clue here,What is your answer here?,"2,5",FALSE
Category 5,4,Enter your question/clue here,What is your answer here?,"2,5",FALSE
Category 5,5,Enter your question/clue here,What is your answer here?,"2,5",FALSE
Category 1,1,Enter your question/clue here,What is your answer here?,"3,1",FALSE
Category 1,2,Enter your question/clue here,What is your answer here?,"3,1",FALSE
Category 1,3,Enter your question/clue here,What is your answer here?,"3,1",FALSE
Category 1,4,Enter your question/clue here,What is your answer here?,"3,1",FALSE
Category 1,5,Enter your question/clue here,What is your answer here?,"3,1",FALSE
Category 2,1,Enter your question/clue here,What is your answer here?,"3,2",FALSE
Category 2,2,Enter your question/clue here,What is your answer here?,"3,2",FALSE
Category 2,3,Enter your question/clue here,What is your answer here?,"3,2",FALSE
Category 2,4,Enter your question/clue here,What is your answer here?,"3,2",FALSE
Category 2,5,Enter your question/clue here,What is your answer here?,"3,2",FALSE
Category 3,1,Enter your question/clue here,What is your answer here?,"3,3",FALSE
Category 3,2,Enter your question/clue here,What is your answer here?,"3,3",FALSE
Category 3,3,Enter your question/clue here,What is your answer here?,"3,3",FALSE
Category 3,4,Enter your question/clue here,What is your answer here?,"3,3",FALSE
Category 3,5,Enter your question/clue here,What is your answer here?,"3,3",FALSE
Category 4,1,Enter your question/clue here,What is your answer here?,"3,4",FALSE
Category 4,2,Enter your question/clue here,What is your answer here?,"3,4",FALSE
Category 4,3,Enter your question/clue here,What is your answer here?,"3,4",FALSE
Category 4,4,Enter your question/clue here,What is your answer here?,"3,4",FALSE
Category 4,5,Enter your question/clue here,What is your answer here?,"3,4",FALSE
Category 5,1,Enter your question/clue here,What is your answer here?,"3,5",FALSE
Category 5,2,Enter your question/clue here,What is your answer here?,"3,5",FALSE
Category 5,3,Enter your question/clue here,What is your answer here?,"3,5",FALSE
Category 5,4,Enter your question/clue here,What is your answer here?,"3,5",FALSE
Category 5,5,Enter your question/clue here,What is your answer here?,"3,5",FALSE
Final Jeopardy Category,,Enter your Final Jeopardy clue here,What is your final answer?,Final Jeopardy,
